Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Average Deviation (%),Total Time (s)
200,best,transpose,random,26.83,10.76
100,first,exchange,srz,7.1,80.39
100,first,transpose,srz,6.79,109.78
100,best,transpose,random,26.03,3.12
100,first,exchange,random,14.38,113.87
100,first,transpose,random,21.73,133.42
100,best,transpose,srz,6.96,30.14
100,first,insert,random,16.45,106.85
100,first,insert,srz,7.19,93.21
200,best,transpose,srz,6.26,224.89
100,best,insert,random,26.22,136.55
100,best,exchange,random,25.73,148.61
100,best,exchange,srz,7.08,131.67
100,best,insert,srz,7.03,139.63
200,best,exchange,srz,6.52,775.45
50,first,transpose,random,20.43,16.36
200,first,exchange,srz,6.25,564.07
50,first,transpose,srz,5.83,12.33
50,first,exchange,srz,5.89,10.03
50,first,exchange,random,13.24,13.38
50,best,transpose,random,25.71,1.18
50,best,transpose,srz,5.98,4.66
50,first,insert,srz,5.66,11.49
50,first,insert,random,14.55,14.46
50,best,exchange,srz,5.98,17.51
50,best,exchange,random,25.54,20.6
50,best,insert,random,25.9,17.45
50,best,insert,srz,5.69,14.87
200,first,insert,srz,6.3,693.28
200,first,exchange,random,14.76,936.06
200,best,insert,srz,6.16,943.87
200,first,insert,random,17.79,818.99
200,best,insert,random,26.34,931.28
200,best,exchange,random,26.29,1035.5
200,first,transpose,random,22.52,1009.39
200,first,transpose,srz,6.08,1024.09
